#X Y
#wavelengths, adjustedND
342.635714286 0.132144285714
343.1 0.132051428571
343.564285714 0.132051428571
344.028571429 0.131958571429
344.492857143 0.131958571429
344.957142857 0.131958571429
345.421428571 0.131831428571
345.885714286 0.131831428571
346.35 0.131645714286
346.814285714 0.131645714286
347.278571429 0.13146
347.742857143 0.13146
348.207142857 0.131274285714
348.671428571 0.131274285714
349.135714286 0.131088571429
349.6 0.131088571429
350.064285714 0.130902857143
350.528571429 0.130902857143
350.992857143 0.130902857143
351.457142857 0.130698857143
351.921428571 0.130698857143
352.385714286 0.130494571429
352.85 0.130494571429
353.314285714 0.130290285714
353.778571429 0.130290285714
354.242857143 0.130086
354.707142857 0.130086
355.171428571 0.129881714286
355.635714286 0.129881714286
356.1 0.129688571429
356.564285714 0.129688571429
357.028571429 0.129502857143
357.492857143 0.129502857143
357.957142857 0.129502857143
358.421428571 0.129317142857
358.885714286 0.129317142857
359.35 0.129131428571
359.814285714 0.129131428571
360.278571429 0.128945714286
360.742857143 0.128945714286
361.207142857 0.128772
361.671428571 0.128772
362.135714286 0.128642
362.6 0.128642
363.064285714 0.128512
363.528571429 0.128512
363.992857143 0.128512
364.457142857 0.128382
364.921428571 0.128382
365.385714286 0.128252
365.85 0.128252
366.314285714 0.128122
366.778571429 0.128122
367.242857143 0.128115428571
367.707142857 0.128115428571
368.171428571 0.128134
368.635714286 0.128134
369.1 0.128152571429
369.564285714 0.128152571429
370.028571429 0.128171142857
370.492857143 0.128171142857
370.957142857 0.128171142857
371.421428571 0.128189714286
371.885714286 0.128189714286
372.35 0.128440285714
372.814285714 0.128440285714
373.278571429 0.128978857143
373.742857143 0.128978857143
374.207142857 0.129517428571
374.671428571 0.129517428571
375.135714286 0.130056
375.6 0.130056
376.064285714 0.130594571429
376.528571429 0.130594571429
376.992857143 0.130594571429
377.457142857 0.131193714286
377.921428571 0.131193714286
378.385714286 0.132716571429
378.85 0.132716571429
379.314285714 0.134239428571
379.778571429 0.134239428571
380.242857143 0.135762285714
380.707142857 0.135762285714
381.171428571 0.137285142857
381.635714286 0.137285142857
382.1 0.138808
382.564285714 0.138808
383.028571429 0.141210857143
383.492857143 0.141210857143
383.957142857 0.141210857143
384.421428571 0.144033714286
384.885714286 0.144033714286
385.35 0.146856571429
385.814285714 0.146856571429
386.278571429 0.149679428571
386.742857143 0.149679428571
387.207142857 0.152502285714
387.671428571 0.152502285714
388.135714286 0.155536857143
388.6 0.155536857143
389.064285714 0.159084
389.528571429 0.159084
389.992857143 0.159084
390.457142857 0.162631142857
390.921428571 0.162631142857
391.385714286 0.166178285714
391.85 0.166178285714
392.314285714 0.169725428571
392.778571429 0.169725428571
393.242857143 0.173272571429
393.707142857 0.173272571429
394.171428571 0.177291714286
394.635714286 0.177291714286
395.1 0.181358857143
395.564285714 0.181358857143
396.028571429 0.185426
396.492857143 0.185426
396.957142857 0.185426
397.421428571 0.189493142857
397.885714286 0.189493142857
398.35 0.193560285714
398.814285714 0.193560285714
399.278571429 0.197277714286
399.742857143 0.197277714286
400.207142857 0.200676285714
400.671428571 0.200676285714
401.135714286 0.204074857143
401.6 0.204074857143
402.064285714 0.207473428571
402.528571429 0.207473428571
402.992857143 0.207473428571
403.457142857 0.210872
403.921428571 0.210872
404.385714286 0.214208857143
404.85 0.214208857143
405.314285714 0.217161714286
405.778571429 0.217161714286
406.242857143 0.220114571429
406.707142857 0.220114571429
407.171428571 0.223067428571
407.635714286 0.223067428571
408.1 0.226020285714
408.564285714 0.226020285714
409.028571429 0.228973142857
409.492857143 0.228973142857
409.957142857 0.228973142857
410.421428571 0.231814
410.885714286 0.231814
411.35 0.234618285714
411.814285714 0.234618285714
412.278571429 0.237422571429
412.742857143 0.237422571429
413.207142857 0.240226857143
413.671428571 0.240226857143
414.135714286 0.243031142857
414.6 0.243031142857
